,Traditional,Crypto-Enhanced
Annualized Return,0.12152960381997557,0.255707409413205
Annualized Volatility,0.10367559299293638,0.12109435624293388
Sharpe Ratio,0.9793009221263194,1.9464772490333055
Sortino Ratio,1.2469614012902632,2.9374496591891757
Max Drawdown,-0.1123435904554699,-0.09599898789718612
Drawdown Start,2023-07-19 00:00:00,2023-07-19 00:00:00
Drawdown End,2023-10-26 00:00:00,2023-09-27 00:00:00
VaR (95%),0.012387485573430834,0.012835803207143252
CVaR (95%),0.014949552481947832,0.01553014586451124
Total Return,0.10129653991045862,0.21113310818722075
Best Day,0.018823112487453057,0.027448310462750126
Worst Day,-0.019898583994278234,-0.020814411297082943
